is_left_footed,game_away,is_endgame,is_start,time_norm,distance,angle,is_left_side,has_previous_attempts,wind_speed,precipitation_probability,resultat
0,0,1,0,1.0,11,15,0,1,3.24,0.0,1
0,0,1,0,1.0,32,44,1,1,3.24,0.0,1
0,1,0,0,0.38,41,52,1,0,3.24,0.0,0
0,1,0,0,0.59,35,46,0,1,3.24,0.0,1
0,1,1,0,0.98,18,45,0,1,3.24,0.0,1
0,1,1,0,1.0,22,39,1,1,3.24,0.0,1
0,1,1,0,1.0,27,34,0,1,3.24,0.0,1
0,1,1,0,1.0,25,37,1,1,3.24,0.0,1
0,1,1,0,1.0,31,9,0,1,3.24,0.0,1
0,1,1,0,1.0,13,4,1,1,3.24,0.0,1
0,0,0,0,0.09,25,26,0,0,4.57,0.0,1
0,0,0,0,0.28,13,13,1,1,4.57,0.0,1
0,0,0,0,0.41,12,9,0,1,4.57,0.0,1
0,0,0,0,0.6,20,6,1,1,4.57,0.0,1
0,0,0,0,0.88,13,18,1,1,4.57,0.0,1
0,0,1,0,1.0,22,34,1,1,4.57,0.0,1
0,0,1,0,1.0,41,53,1,1,4.57,0.0,0
0,1,0,0,0.36,19,43,0,0,4.57,0.0,1
0,1,0,0,0.46,14,12,1,1,4.57,0.0,1
0,1,0,0,0.57,15,23,0,1,4.57,0.0,1
0,1,1,0,1.0,17,36,1,1,4.57,0.0,1
0,0,0,0,0.51,11,27,0,0,6.69,0.0,1
0,0,1,0,1.0,10,0,1,0,6.69,0.0,1
0,1,0,0,0.06,23,45,0,0,6.69,0.0,1
0,1,0,0,0.2,41,56,0,1,6.69,0.0,1
0,1,0,0,0.54,19,39,1,1,6.69,0.0,1
0,1,0,0,0.6,16,22,0,1,6.69,0.0,1
0,1,0,0,0.64,34,43,1,1,6.69,0.0,0
0,1,1,0,1.0,26,39,1,1,6.69,0.0,1
0,1,1,0,1.0,31,40,0,0,6.69,0.0,1
0,1,1,0,1.0,15,16,0,1,6.69,0.0,1
0,1,1,0,1.0,19,36,0,1,6.69,0.0,1
0,1,1,0,1.0,29,41,1,1,6.69,0.0,1
0,0,0,0,0.32,16,7,1,0,12.18,1.0,1
0,0,0,0,0.52,14,12,0,1,12.18,1.0,1
0,0,0,0,0.63,13,27,1,1,12.18,1.0,1
0,0,0,0,0.87,45,49,0,1,12.18,1.0,0
0,1,0,0,0.11,19,43,1,0,12.18,1.0,1
0,1,0,0,0.3,31,25,0,1,12.18,1.0,1
0,1,0,0,0.54,49,19,0,1,12.18,1.0,0
0,1,0,0,0.93,13,9,0,1,12.18,1.0,1
0,1,1,0,1.0,41,52,1,1,12.18,1.0,0
0,1,1,0,1.0,18,29,0,1,12.18,1.0,1
0,1,1,0,1.0,49,18,1,1,12.18,1.0,1
0,1,1,0,1.0,40,28,1,1,12.18,1.0,1
0,1,1,0,1.0,52,29,1,1,12.18,1.0,0
0,0,0,0,0.19,41,53,1,0,5.86,0.0,1
0,0,0,0,0.52,49,26,1,1,5.86,0.0,1
0,0,1,0,1.0,40,50,0,1,5.86,0.0,1
0,1,0,0,0.38,13,27,0,0,5.86,0.0,1
0,1,0,0,0.63,33,41,0,1,5.86,0.0,0
0,1,1,0,0.97,35,44,1,1,5.86,0.0,0
0,1,1,0,1.0,35,45,0,1,5.86,0.0,0
0,0,0,0,0.16,45,14,0,0,1.47,0.0,0
0,0,0,0,0.21,18,38,0,1,1.47,0.0,1
0,0,0,0,0.29,35,2,0,1,1.47,0.0,1
0,0,0,0,0.44,11,0,1,1,1.47,0.0,1
1,0,1,0,1.0,33,45,1,0,1.47,0.0,1
0,1,0,0,0.25,21,29,0,0,1.47,0.0,1
0,1,0,0,0.36,41,54,0,1,1.47,0.0,1
0,1,0,0,0.4,24,42,0,1,1.47,0.0,1
0,1,0,0,0.47,37,46,1,1,1.47,0.0,1
0,1,0,0,0.59,34,40,1,1,1.47,0.0,1
0,1,0,0,0.86,17,40,1,1,1.47,0.0,1
0,1,0,0,0.93,39,46,0,1,1.47,0.0,0
0,1,1,0,0.98,12,5,1,1,1.47,0.0,1
0,1,1,0,1.0,29,38,1,1,1.47,0.0,1
0,1,1,0,1.0,38,47,0,0,1.47,0.0,1
0,1,1,0,1.0,41,51,1,1,1.47,0.0,0
0,0,0,0,0.1,26,29,0,0,2.01,0.0,1
0,0,0,0,0.13,36,30,1,1,2.01,0.0,1
0,0,0,0,0.19,40,39,1,1,2.01,0.0,1
0,0,0,0,0.45,48,13,1,1,2.01,0.0,1
0,0,0,0,0.58,45,51,0,1,2.01,0.0,1
0,0,1,0,0.97,49,41,1,1,2.01,0.0,0
0,0,1,0,1.0,24,24,0,1,2.01,0.0,1
0,0,1,0,1.0,8,0,1,1,2.01,0.0,1
0,1,0,0,0.07,23,38,1,0,2.01,0.0,1
0,1,0,0,0.39,30,26,0,1,2.01,0.0,1
0,1,0,0,0.67,15,0,1,0,2.01,0.0,1
0,1,1,0,1.0,35,25,1,1,2.01,0.0,1
0,1,1,0,1.0,41,52,1,0,2.01,0.0,0
0,1,1,0,1.0,10,0,1,1,2.01,0.0,1
1,0,0,0,0.41,23,41,0,0,2.12,0.0,1
1,0,0,0,0.58,35,33,0,1,2.12,0.0,0
0,0,0,0,0.9,14,30,1,0,2.12,0.0,1
0,0,1,0,1.0,26,23,0,1,2.12,0.0,1
0,1,0,0,0.26,40,23,1,0,2.12,0.0,1
0,1,0,0,0.47,40,51,1,1,2.12,0.0,0
0,1,1,0,0.99,27,24,0,1,2.12,0.0,1
0,1,1,0,1.0,28,51,1,1,2.12,0.0,0
0,1,1,0,1.0,37,34,0,1,2.12,0.0,1
1,0,0,0,0.23,37,46,1,1,2.61,0.0,1
1,0,1,0,1.0,23,38,0,1,2.61,0.0,1
1,0,1,0,1.0,31,2,0,1,2.61,0.0,1
1,0,1,0,1.0,44,23,1,1,2.61,0.0,0
1,0,1,0,1.0,22,8,0,1,2.61,0.0,1
0,1,0,0,0.09,49,27,0,0,2.61,0.0,0
0,1,0,0,0.29,37,41,1,1,2.61,0.0,1
0,1,0,0,0.38,31,40,1,1,2.61,0.0,1
0,1,0,0,0.45,34,3,1,1,2.61,0.0,1
0,1,0,0,0.88,32,9,0,1,2.61,0.0,1
0,1,1,0,1.0,10,6,0,1,2.61,0.0,1
1,0,0,0,0.11,21,35,1,0,3.62,0.0,1
1,0,0,0,0.2,37,47,1,1,3.62,0.0,1
1,0,0,0,0.45,16,43,1,1,3.62,0.0,1
1,0,0,0,0.52,36,28,0,1,3.62,0.0,1
1,0,1,0,1.0,31,38,1,1,3.62,0.0,1
1,0,1,0,1.0,40,32,1,1,3.62,0.0,1
0,1,0,0,0.35,30,28,1,0,3.62,0.0,1
0,1,0,0,0.39,40,53,1,1,3.62,0.0,0
0,1,0,0,0.57,36,34,0,1,3.62,0.0,1
0,1,1,0,1.0,46,0,1,1,3.62,0.0,1
0,1,1,0,1.0,39,54,1,1,3.62,0.0,0
0,0,0,0,0.13,40,49,1,0,2.25,0.0,1
0,0,0,0,0.23,18,22,1,1,2.25,0.0,1
0,0,0,0,0.44,23,45,1,1,2.25,0.0,1
0,0,0,0,0.83,14,17,1,1,2.25,0.0,1
